9-13 21-17 4-9 22-19 0-4 27-22 11-15 25-21 6-11 21-18 11-14 18-11 7-14 26-21 3-6 30-27 13-18 22-13 9-18-25 28-21 15-22 27-18-11 6-15 31-27 15-19 23-14 10-19 17-12 8-17-26 29-22-15 4-9 20-17 9-13 17-10 5-14 15-11 14-18 27-23 18-21 23-19 21-25 19-15 2-5 11-6 25-28 6-2 5-9 2-6 28-25	1/2-1/2
9-13 21-17 4-9 25-21 11-15 22-18 13-22 27-18 10-13 17-10 6-13-22 26-19 15-22 30-26 7-11 26-19 5-10 31-27 9-13 28-25 11-15 19-14 10-19 23-14 15-19 27-22 19-26 29-22 8-12 21-18 13-17 20-13 12-17 22-19 17-21 25-20 21-26 13-10 26-29 10-6 3-10 14-5 2-9 18-14 29-26 19-15 26-21 20-16 9-13 14-11 21-18 11-7 13-17 15-11 17-21 11-6 21-26 6-2 18-13 7-3 26-29 2-6 13-9 6-10 29-26 3-6 0-4 10-14 26-21 6-10 21-17 14-18 4-8 18-14 17-21 14-11 21-26 11-14	1/2-1/2
8-12 22-18 12-16 18-14 11-18 21-14 10-19 23-14 6-11 26-21 11-18 21-14 3-6 30-26 9-13 20-17 13-20 24-17 4-9 27-22 0-4 31-27 4-8 26-21 6-10 29-26 10-19 22-15 9-12 26-22 5-10 27-23 7-11 15-6 2-11 22-18 10-14 18-13 11-15 13-9 15-19 17-13 12-17 21-12 8-17 13-10 19-22 10-6 14-18 6-3 17-20	1/2-1/2
8-12 22-18 12-16 20-17 9-13 18-9 4-13-20 24-17 0-4 27-22 4-9 21-18 11-15 31-27 10-13 17-10 6-13 23-19 7-11 27-23 3-7 28-24 1-4 25-20 16-25 29-20 5-10 19-14 10-19 23-14 15-19 22-15-6 13-22-29 6-3 29-25 20-16 4-8 30-26 9-13 14-10 13-18 26-21 18-22 21-17 22-26 17-13 26-30 13-9 30-26 9-4 26-21 24-20 21-18 4-1 25-28 20-17 18-13 17-12 8-17 1-4 13-6 3-10 17-21 4-9 21-26 9-13 28-25 16-12 26-30 10-14 25-21 12-9 2-6 9-5 6-11 14-19 11-15 19-23 30-26 5-2 26-22 2-6 21-18 23-27 22-31 13-22 7-11 22-18 31-27 6-3 15-19 3-6 11-15 6-11 19-23	1-0
10-14 20-17 9-12 24-20 5-10 22-19 12-16 28-24 11-15 27-22 7-11 17-13 10-17 20-13 6-10 13-6 3-10 21-17 4-9 30-27 9-13 25-21 13-20 24-17 0-4 17-13 10-17 21-12 8-17 19-10 17-20 10-6 20-25 29-20 16-25 6-3 1-5 3-6 4-9 6-3 9-13 3-7 25-29 7-14 5-10 14-5 2-9 26-21 29-25 21-18 13-17 18-14 17-21 14-10 21-26 10-5 25-21 5-1 26-30 1-5 9-12 5-10 12-16 10-14 21-26 22-18 26-21 18-13 16-20 13-10 20-24 10-6 24-28 6-3 28-25 3-7 25-20 14-10 20-17 7-11 21-25 11-14 25-21 10-5 17-12 14-10 21-17 5-2 17-21 10-13 12-16 2-5 16-20 5-9 20-25 9-12 25-20 12-8 21-17 13-9 20-25 8-4 25-21 4-1 21-18 9-5 17-13 1-4 18-14 5-9 13-18 4-1 30-26 1-5 26-21 5-2 21-26 9-5 26-21 5-1 21-26 1-5 26-21 5-10 14-5 2-9 21-26 9-12 26-22 12-17 22-26 17-20 26-22 20-25 22-26 25-29 26-22 29-25 22-26 25-20 26-22 20-17 22-26 17-12 26-22 12-9 22-26 9-5 26-22 5-2 22-26 2-5 26-22	1/2-1/2
10-14 20-17 9-12 24-20 5-10 22-19 11-15 27-22 7-11 22-18 15-22 26-19 12-16 19-15 1-5 31-27 3-7 29-26 4-9 27-22 14-19 23-14 10-19 28-24 9-12 17-13 5-10 18-14 10-17 20-13 11-18-27 30-23-14 6-10 13-6 2-11-18 21-14 0-4 25-21 4-9 26-22 9-13 14-10 13-17 21-18 16-20 18-13 20-25 10-5 25-29 5-2 29-26 22-19 26-22 13-9 17-21 9-4 21-26 4-1 26-30 2-5 30-26 19-14 12-17 14-10 8-12 10-6 12-16 5-10 22-19 6-2 17-21 2-5 19-23 10-14 26-22 5-10 22-26 1-5 21-25 15-11 26-21 10-13 23-27 11-6 27-30	1/2-1/2
11-15 21-17 9-12 25-21 10-14 22-19 15-22 27-18-11 7-14 31-27 12-16 28-25 4-9 17-12 8-17 20-13-4 0-9 27-22 6-10 21-17 9-13 17-12 3-7 22-19 7-11 19-15 13-18 15-6 2-11 30-27 11-15 26-22 10-13 24-20 14-19 23-14 15-19 22-15 5-9 12-5 1-10-19 27-23 19-22 15-11 22-26 29-22 18-27 11-6 27-30 6-2 30-26 2-6 13-18 6-10 26-21	1/2-1/2
11-15 21-17 9-12 26-21 12-16 30-26 4-9 17-12 8-17 20-13-4 0-9 21-17 6-11 25-21 3-6 28-25 11-14 22-19 15-22 27-18-11 6-15 31-27 7-11 17-13 10-17 21-12 11-14 27-22 9-13 12-9 5-12 22-19 15-22 26-19-10	1/2-1/2
10-14 22-19 11-15 19-10 6-13 27-22 13-17 20-13 9-18-27 31-22 7-11 22-18 8-12 24-20 4-8 26-22 5-10 20-17 1-5 25-20 12-16 18-13 16-25 13-6 3-10 29-20 11-14 22-18 14-19 23-14 10-19 18-14 19-23 14-11 0-4 17-13 15-19 21-18 19-22 18-14 22-27 13-10 5-9 10-5 27-31 5-1 31-27 11-7 27-22 7-3 9-12 20-16 12-17 3-7 22-19 14-10 17-21 7-11 19-22 10-6 4-9 11-7 2-11 7-14 8-12 14-10 12-17 1-4 9-13 4-9 13-18 9-13	0-1
10-14 22-19 11-15 19-10 6-13 20-17 13-20 24-17 3-6 21-18 9-12 26-21 4-9 27-22 6-10 30-26 7-11 22-19 15-22 26-19 11-15 19-14 10-19 23-14 5-10 14-5 1-10 31-27 15-19 27-23 19-22 23-19 12-16 19-15 22-27 18-13 9-18 21-14-5 2-9 15-11 27-30 11-6 0-4 6-2 9-12 17-13 12-17 2-5 8-12 5-9 4-8 13-10 17-20 25-21 30-27 28-24 20-25 29-20 16-25 9-16 27-22 10-6 25-29 16-20	0-1
